Stock Pair,RNN R2,RNN RMSE,RNN MAE,RNN MAPE,LSTM R2,LSTM RMSE,LSTM MAE,LSTM MAPE
"""HINDUNILVR_SIEMENS""",0.09303475855388343,4.416014094166082,1.7392671479688377,0.23535561245419576,0.0907044852330624,4.421683505713712,1.7248165452563713,0.2377064652414862
"""HINDUNILVR_ABB""",0.1526163531969943,4.501668260353242,1.9028482752865372,0.2522371807773807,0.16493887018162934,4.468817125348383,1.8864717630701173,0.24903905942649657
"""HINDUNILVR_TCS""",-0.24517638425614963,4.762561244608535,1.804560317306565,0.5217379917513512,-0.26863368060980486,4.807211771645658,1.8264263448877054,0.5226985252392505
"""HINDUNILVR_INFY""",-0.25287280642101884,5.040114979577,2.0794113525280378,0.4886678051451185,-0.24241786847156743,5.019041619130305,2.044614168517748,0.4933213609759373
"""HINDUNILVR_TATASTEEL""",0.3339724823315049,4.554726875594727,2.1727577698523275,0.36689756859585565,0.36478698789953057,4.448114377992117,2.104985282312602,0.3504229543797928
"""HINDUNILVR_SUNPHARMA""",-0.05973500956999378,4.3276104049750215,1.9596852640088125,0.16449017370481533,0.08417208844803448,4.023059474536769,1.8127417391530578,0.1656057318851726
"""HINDUNILVR_CONCOR""",0.17287642565023287,4.9283290948831935,2.6211717401362296,0.29618052128819033,0.1749383980817094,4.922182238282055,2.5740330572289265,0.28163430810036577
"""HINDUNILVR_BHARTIARTL""",-0.05942698514644662,4.850735878586908,2.6387384502176903,0.2758649671619297,-0.032308766601885974,4.788251135803029,2.5839965620052903,0.2672397908814883
"""ITC_RELIANCE""",0.8673998806927081,2.420766446037834,1.8605729846818464,0.20077396106352155,0.8724306973963152,2.3744007690726763,1.8103827737775406,0.18697808797146345
"""ITC_ONGC""",-0.1280968685990802,2.581354281195569,1.7436806575699908,0.3975735645875294,-0.10785497970910662,2.5580903190899695,1.7227344199531818,0.39134046177272963
"""ITC_UPL""",0.38392561994701313,2.091757712287271,1.3731217070436657,0.320883086114461,0.3866502387249471,2.087127136992429,1.3685123658924352,0.3214731001115356
"""ITC_ICICIBANK""",0.8264268405116235,1.8764115935650145,1.435073197648155,0.26659989171495285,0.8243935565806516,1.8873699963990493,1.4446259051110344,0.2616690973797732
"""ITC_SIEMENS""",0.48385227650219,1.8045485338232665,1.265799760996857,0.38383914916573025,0.47629683280187907,1.8177081695231223,1.2838847106442044,0.3970101004046525
"""ITC_ABB""",0.2785493311489986,2.175806351695599,1.4818131207373524,0.5874675514259026,0.3275843997715553,2.1005634785776843,1.4213122277277292,0.5735236069267026
"""ITC_TCS""",0.7332684712558495,2.0260692630834103,1.4666561260524968,0.3076238508124628,0.7417822158294879,1.9934722111533811,1.446583741990997,0.29801527766150454
"""ITC_INFY""",0.8442673308393648,2.427488604582045,1.8344832636495787,0.3159043668427852,0.8490098219095101,2.390240963301329,1.8162212354704819,0.3167167125509136
"""ITC_TATASTEEL""",0.5286589171530772,2.5876939815622086,1.9114828175112013,0.36460109400085544,0.5912792718445354,2.4096757096049,1.7821594122133846,0.34329496359784023
